Feature,Importance
Session_Duration (hours),0.36610022049665203
HR_Intensity,0.3235330972105494
Effective_MET,0.14151156260449324
Weight (kg),0.12995888275435624
Base_MET,0.01969079680439515
Workout_Type_Mixed,0.008681488015185236
Workout_Type_HIIT,0.005978904250944781
Workout_Type_Yoga,0.002116221128204234
Water_Intake (liters),0.00040031215888188887
BMI,0.0003979291844860894
Fat_Percentage,0.000268855454180221
Height (m),0.00026033588896693977
Resting_BPM,0.0002409737408157811
Age,0.00022724893421449454
Avg_BPM,0.00018428350530442394
Max_BPM,0.0001781987002391943
Workout_Frequency (days/week),0.0001011173118829186
Workout_Type_Strength,8.183350135400955e-05
Experience_Level,4.5868067437796174e-05
Gender_Male,4.187028745595728e-05
